Year,Month,Day,Hour,Minute,Temperature,DHI,GHI,DNI,Relative Humidity,Solar Zenith Angle,Precipitable Water,Pressure,Wind Speed,Dew Point,Cloud Type,Surface Albedo
2020,1,5,5,30,4.7,0,0,0,96.56,138.88,1.3,1016,0.9,4.2,7,0.1
2020,1,5,6,30,4.800000000000001,0,0,0,95.24,147.47,1.3,1015,0.9,4.1000000000000005,8,0.1
2020,1,5,7,30,5,0,0,0,95.7,153.5,1.3,1015,0.9,4.4,8,0.1
2020,1,5,8,30,5.1000000000000005,0,0,0,96.07000000000001,154.84,1.3,1015,0.9,4.5,8,0.1
2020,1,5,9,30,5,0,0,0,96.57000000000001,150.82,1.3,1014,0.9,4.5,8,0.1
2020,1,5,10,30,4.7,0,0,0,97.23,143.22,1.3,1013,0.9,4.3,8,0.1
2020,1,5,11,30,4.4,0,0,0,97.02,133.92000000000002,1.2000000000000002,1013,1,4,7,0.1
2020,1,5,12,30,4.2,0,0,0,96.16,123.95,1.3,1012,1,3.6,8,0.1
2020,1,5,13,30,4.1000000000000005,0,0,0,95.21000000000001,113.86,1.3,1011,1,3.4000000000000004,8,0.1
2020,1,5,14,30,4.2,0,0,0,94.33,104.03,1.3,1011,1,3.4000000000000004,8,0.1
2020,1,5,15,30,4.5,0,0,0,93.13,94.77,1.4000000000000001,1010,1.1,3.5,6,0.1
2020,1,5,16,30,4.9,16,16,0,92.02,86.22,1.4000000000000001,1010,1.3,3.7,8,0.1
2020,1,5,17,30,5.300000000000001,46,47,3,91.69,79.29,1.4000000000000001,1010,1.4000000000000001,4.1000000000000005,6,0.1
2020,1,5,18,30,5.5,48,51,10,92.34,74.01,1.4000000000000001,1010,1.6,4.4,6,0.1
2020,1,5,19,30,5.9,94,103,29,90.41,70.89,1.2000000000000002,1010,1.6,4.5,8,0.1
2020,1,5,20,30,6.4,67,82,44,88.93,70.26,1,1012,1.4000000000000001,4.7,4,0.1
2020,1,5,21,30,6.6000000000000005,63,71,27,85.91,72.17,0.9,1013,1.3,4.4,4,0.1
2020,1,5,22,30,6.2,53,150,414,85.48,76.44,0.9,1014,1.1,3.9000000000000004,0,0.1
2020,1,5,23,30,5.800000000000001,41,64,179,86.68,82.63,0.9,1015,1,3.8000000000000003,7,0.1
2020,1,6,0,30,4.800000000000001,2,2,0,90.63,89.93,1,1016,1,3.4000000000000004,8,0.1
2020,1,6,1,30,4.6000000000000005,0,0,0,92.07000000000001,99.36,1.1,1016,1,3.4000000000000004,8,0.1
2020,1,6,2,30,4.5,0,0,0,93.76,108.95,1.2000000000000002,1017,1,3.6,8,0.1
2020,1,6,3,30,4.4,0,0,0,95.10000000000001,118.94,1.3,1017,1,3.7,6,0.1
2020,1,6,4,30,4.5,0,0,0,95.16,129.01,1.3,1017,1,3.8000000000000003,6,0.1
2020,1,6,5,30,4.5,0,0,0,95.57000000000001,138.72,1.4000000000000001,1017,1.1,3.9000000000000004,8,0.1
2020,1,6,6,30,4.3,0,0,0,96.21000000000001,147.32,1.5,1016,1.2000000000000002,3.7,8,0.1
2020,1,6,7,30,4.3,0,0,0,95.19,153.36,1.5,1015,1.2000000000000002,3.6,6,0.1
2020,1,6,8,30,4.2,0,0,0,95.2,154.74,1.6,1014,1.3,3.5,6,0.1
2020,1,6,9,30,4.1000000000000005,0,0,0,95.05,150.76,1.7000000000000002,1013,1.4000000000000001,3.4000000000000004,6,0.1
2020,1,6,10,30,4.2,0,0,0,94.14,143.20000000000002,1.8,1012,1.5,3.3000000000000003,6,0.1
2020,1,6,11,30,4.6000000000000005,0,0,0,92.45,133.91,1.9000000000000001,1011,1.5,3.5,6,0.1
2020,1,6,12,30,5.1000000000000005,0,0,0,92.12,123.95,1.9000000000000001,1010,1.6,3.9000000000000004,6,0.1
2020,1,6,13,30,5.7,0,0,0,92.54,113.86,2,1009,1.5,4.6000000000000005,6,0.1
2020,1,6,14,30,6.2,0,0,0,93.51,104.02,2,1009,1.5,5.2,6,0.1
2020,1,6,15,30,6.7,0,0,0,93.89,94.75,2.1,1009,1.6,5.800000000000001,6,0.1
2020,1,6,16,30,7.300000000000001,16,16,0,94,86.18,2.1,1008,1.6,6.4,8,0.1
2020,1,6,17,30,7.9,41,41,0,93.78,79.23,2.1,1008,1.7000000000000002,7,6,0.1
2020,1,6,18,30,8.4,56,56,0,93.37,73.93,2.1,1008,1.7000000000000002,7.4,6,0.1
